timestamp_bst,pm2_5_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,co_mgm3,so2_ugm3,dust_aod_550nm
1/16/2017 15:00,101.68333,143.44739,3.4740815,155.57635,0.8843405,6.0110846,0.007427277
1/16/2017 18:00,162.33363,228.55244,6.1737204,136.83679,1.0084414,8.202963,0.005844158
1/16/2017 21:00,203.70177,287.01724,6.076652,135.18935,1.1414602,10.120888,0.00486725
1/17/2017 0:00,215.08618,303.516,7.681788,129.20943,1.2686936,12.819887,0.004237564
1/17/2017 3:00,216.635,306.13684,9.080771,121.30204,1.3719108,14.656079,0.004508724
1/17/2017 6:00,259.64822,367.18576,15.3012,113.9041,1.4235437,13.3958235,0.009762235
1/17/2017 9:00,253.36226,358.06192,8.81325,131.88548,1.3268806,10.706972,0.017334428
1/17/2017 12:00,151.56923,214.01036,5.176412,167.7031,1.2252666,8.012969,0.023254668
1/17/2017 15:00,125.55725,177.34175,3.7139287,165.83784,0.9528592,6.209191,0.024229843
1/17/2017 18:00,208.59006,293.40698,5.8030806,151.94453,1.0449874,7.7737093,0.022304842
1/17/2017 21:00,270.04745,380.22812,3.9853063,157.11531,1.0848929,7.8612905,0.02019659
1/18/2017 0:00,266.6094,376.02377,5.1587343,150.83699,1.1482879,9.01036,0.018952744
1/18/2017 3:00,247.41234,349.4117,6.6541243,135.65752,1.1868325,10.028682,0.01815815
1/18/2017 6:00,212.75082,300.5823,8.658898,118.96722,1.1778966,9.649401,0.017759388
1/18/2017 9:00,198.49495,280.32672,6.194928,119.514,1.0658115,7.422793,0.01808105
1/18/2017 12:00,110.06887,155.3899,3.040789,147.89694,0.88698906,5.263085,0.016778562
1/18/2017 15:00,80.92968,114.205025,2.3558683,146.56145,0.67642075,3.8868546,0.014974598
1/18/2017 18:00,170.06999,239.1073,3.303615,137.37772,0.6824821,4.498304,0.013775905
1/18/2017 21:00,205.84528,289.8154,3.1804512,132.13962,0.70830697,4.653899,0.012817069
1/19/2017 0:00,177.55914,250.389,4.708582,123.55578,0.79970556,6.04711,0.011585945
1/19/2017 3:00,166.24216,234.77003,7.3385577,111.93246,0.9759601,8.948101,0.009960799
1/19/2017 6:00,176.62341,249.57217,11.511126,104.94229,1.1349726,10.268005,0.00650793
1/19/2017 9:00,173.4163,244.93523,8.095445,120.55266,1.1449286,8.530326,0.007204327
1/19/2017 12:00,102.352036,144.47205,3.6641974,153.1744,0.92417264,5.640636,0.007202692
1/19/2017 15:00,78.11187,110.23181,2.7678378,153.09688,0.72060513,4.257686,0.006199075
1/19/2017 18:00,132.6178,186.62746,4.886205,140.86618,0.84940964,5.9234514,0.005070353
1/19/2017 21:00,170.14598,239.57921,4.63229,141.72173,1.0240448,7.5155864,0.003997165
1/20/2017 0:00,184.06815,259.48428,5.8809958,135.97316,1.1743151,10.054928,0.00438578
1/20/2017 3:00,183.19063,258.44055,7.6430025,126.9035,1.3195301,12.76526,0.005471739
1/20/2017 6:00,185.69937,262.01904,11.3911085,121.44109,1.398378,13.196759,0.007712123
1/20/2017 9:00,191.47853,270.05795,7.650889,137.0078,1.4157318,11.724975,0.009404879
1/20/2017 12:00,135.43326,190.84831,4.0041294,170.11177,1.2326366,8.158363,0.009917927
1/20/2017 15:00,101.99278,143.6598,3.1755314,165.80559,0.9535842,6.18851,0.009309785
